Year,Month,Condition,Age Group,COVID-19 Deaths
2020,1,Influenza and pneumonia,0-24,0
2020,2,Influenza and pneumonia,0-24,0
2020,3,Influenza and pneumonia,0-24,9
2020,4,Influenza and pneumonia,0-24,27
2020,5,Influenza and pneumonia,0-24,19
2020,6,Influenza and pneumonia,0-24,17
2020,7,Influenza and pneumonia,0-24,38
2020,8,Influenza and pneumonia,0-24,32
2020,9,Influenza and pneumonia,0-24,13
2020,10,Influenza and pneumonia,0-24,9
2020,11,Influenza and pneumonia,0-24,22
2020,12,Influenza and pneumonia,0-24,63
2021,1,Influenza and pneumonia,0-24,63
2021,2,Influenza and pneumonia,0-24,42
2021,3,Influenza and pneumonia,0-24,24
2021,4,Influenza and pneumonia,0-24,29
2021,5,Influenza and pneumonia,0-24,29
2021,6,Influenza and pneumonia,0-24,14
2021,7,Influenza and pneumonia,0-24,38
2021,8,Influenza and pneumonia,0-24,153
2021,9,Influenza and pneumonia,0-24,195
2021,10,Influenza and pneumonia,0-24,123
2021,11,Influenza and pneumonia,0-24,84
2021,12,Influenza and pneumonia,0-24,99
2022,1,Influenza and pneumonia,0-24,128
2022,2,Influenza and pneumonia,0-24,70
2022,3,Influenza and pneumonia,0-24,24
2022,4,Influenza and pneumonia,0-24,9
2022,5,Influenza and pneumonia,0-24,21
2022,6,Influenza and pneumonia,0-24,18
2022,7,Influenza and pneumonia,0-24,15
2022,8,Influenza and pneumonia,0-24,23
2022,9,Influenza and pneumonia,0-24,12
2022,10,Influenza and pneumonia,0-24,17
2022,11,Influenza and pneumonia,0-24,8
2022,12,Influenza and pneumonia,0-24,17
2023,1,Influenza and pneumonia,0-24,12
2023,2,Influenza and pneumonia,0-24,7
2023,3,Influenza and pneumonia,0-24,3
2020,1,Influenza and pneumonia,25-34,0
2020,2,Influenza and pneumonia,25-34,0
2020,3,Influenza and pneumonia,25-34,45
2020,4,Influenza and pneumonia,25-34,188
2020,5,Influenza and pneumonia,25-34,98
2020,6,Influenza and pneumonia,25-34,75
2020,7,Influenza and pneumonia,25-34,150
2020,8,Influenza and pneumonia,25-34,108
2020,9,Influenza and pneumonia,25-34,70
2020,10,Influenza and pneumonia,25-34,48
2020,11,Influenza and pneumonia,25-34,125
2020,12,Influenza and pneumonia,25-34,205
2021,1,Influenza and pneumonia,25-34,330
2021,2,Influenza and pneumonia,25-34,148
2021,3,Influenza and pneumonia,25-34,107
2021,4,Influenza and pneumonia,25-34,119
2021,5,Influenza and pneumonia,25-34,109
2021,6,Influenza and pneumonia,25-34,67
2021,7,Influenza and pneumonia,25-34,137
2021,8,Influenza and pneumonia,25-34,729
2021,9,Influenza and pneumonia,25-34,833
2021,10,Influenza and pneumonia,25-34,498
2021,11,Influenza and pneumonia,25-34,255
2021,12,Influenza and pneumonia,25-34,376
2022,1,Influenza and pneumonia,25-34,464
2022,2,Influenza and pneumonia,25-34,188
2022,3,Influenza and pneumonia,25-34,48
2022,4,Influenza and pneumonia,25-34,28
2022,5,Influenza and pneumonia,25-34,15
2022,6,Influenza and pneumonia,25-34,30
2022,7,Influenza and pneumonia,25-34,21
2022,8,Influenza and pneumonia,25-34,26
2022,9,Influenza and pneumonia,25-34,12
2022,10,Influenza and pneumonia,25-34,16
2022,11,Influenza and pneumonia,25-34,11
2022,12,Influenza and pneumonia,25-34,29
2023,1,Influenza and pneumonia,25-34,25
2023,2,Influenza and pneumonia,25-34,6
2023,3,Influenza and pneumonia,25-34,6
2020,1,Influenza and pneumonia,35-44,0
2020,2,Influenza and pneumonia,35-44,1
2020,3,Influenza and pneumonia,35-44,89
